businessName,category,phone,rating,city,website,search_query,leadScore,opportunity,created_at
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:21
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:21
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:18
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:18
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:15
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:15
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:12
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:12
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:09
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:09
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:06
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:06
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:03
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:03
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:16:00
Peluquería & Uñas Bazán,Nail salon,N/A,4.6,28039 Madrid,,Salons in Spain,48,🥈 SILVER,2026-05-16 04:16:00
BOHÈME – beauty salon,Hairdresser,+34657402583,4.9,03001 Alicante,https://www.instagram.com/boheme_beauty_/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Extensiones de pelo natural | PELO INDIO,Hair extension technician,+34915985671,4,28039 Madrid,http://peloindiomadrid.com/,Salons in Spain,72,🥇 GOLD,2026-05-16 04:15:57
Ipanema Salón - Expertos en alisado brasileño / Keratina / taninoplastia,Hairdresser,+34622829974,4.7,28015 Madrid,https://linktr.ee/ipanemasalon,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Valencía Peluqueros,Hair salon,+34963624509,4.9,Valencia,,Salons in Spain,65,🥇 GOLD,2026-05-16 04:15:57
UÑAS DE JIANG,Nail salon,+34688121999,4.9,28003 Madrid,,Salons in Spain,69,🥇 GOLD,2026-05-16 04:15:57
The Men's Hair Club,Hair salon,+34910424974,4.9,28013 Madrid,https://www.themenshairclub.es/es/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Salon Service Group Inc,Beauty supply store,+1 (281) 615-3158,4.1,Webster,http://salonservicegroup.com/,Salons in Spain,54,🥈 SILVER,2026-05-16 04:15:57
SALON CULTURE,Hair salon,+34965817828,5,Alicante,http://salonculture.es/,Salons in Spain,60,🥇 GOLD,2026-05-16 04:15:57
Barbería Dhommes,Beauty salon,N/A,4.7,28015 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:15:57
VIVIENDO POR LOS PELOS,Hairdresser,+34912247879,4.8,28029 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:15:57
Virgola Milano Blow,Hair salon,+34934126049,4.8,08010 Barcelona,https://virgolamilano.com/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Mood beauty and wellness salon,Beauty salon,+34644368727,4.9,28006 Madrid,,Salons in Spain,66,🥇 GOLD,2026-05-16 04:15:57
LA ANTESALA,Hair salon,+34627039696,4.8,28004 Madrid,http://www.laantesala.es/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Peluquería DAVID Y JORGE Madrid - Método curly - Coloración con plantas - Olaplex,Hairdresser,+34914593340,4.8,28039 Madrid,http://www.peluqueriadavidjorgemadrid.com/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
La Hair Boutique,Hair salon,+34936279951,4.7,08002 Barcelona,https://lahairboutiquebarcelona.com/,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Oh my Cut! Calle del Mar,Hairdresser,+34960694847,4.2,Valencia,https://ohmycut.com/pages/salones?&utm_source=gmb&utm_medium=organic&utm_campaign=gmb&utm_term=q1,Salons in Spain,75,🥇 GOLD,2026-05-16 04:15:57
Easens Belleza by Raquel Soler,Beauty salon,+34666483355,4.8,28039 Madrid,https://easensbelleza.com/,Salons in Spain,78,🥇 GOLD,2026-05-16 04:15:57
Estética Eleeme,Nail salon,+34915225468,4.8,28015 Madrid,https://instagram.com/eleemepeluqueriaestetica?igshid=YmMyMTA2M2Y=,Salons in Spain,72,🥇 GOLD,2026-05-16 04:15:57
Jimena Nails,Cosmetics store,+34610228320,4.5,28015 Madrid,http://www.jimenanails.com/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Peluqueria de Caballeros RAYAN,Hair salon,+34647044079,4.7,28029 Madrid,,Salons in Spain,61,🥇 GOLD,2026-05-16 04:15:57
Madrid Shaving Club Moncloa,Barber shop,+34658125741,4.9,28015 Madrid,http://www.madridshavingclub.com/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Blondie Madrid,Hair salon,+34649079728,4.5,28001 Madrid,http://blondiemadrid.com/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Allure Nails Madrid,Beauty salon,+34912872111,4.8,28010 Madrid,http://www.allurenails.es/,Salons in Spain,88,💎 DIAMOND,2026-05-16 04:15:57
Blow Dry Bar - Daniele Sigigliano,Beauty salon,+34910096594,4.9,28004 Madrid,http://www.blowdrybar.es/,Salons in Spain,89,💎 DIAMOND,2026-05-16 04:15:57
Simone Alves Hair & Beauty,Hairdresser,+34603387736,4.9,28015 Madrid,,Salons in Spain,57,🥈 SILVER,2026-05-16 04:15:57
Le Petit Salon - Peluquería Barcelona - C/ Buenos Aires,Beauty salon,+34931248814,4.6,08029 Barcelona,https://lepetitsalonbarcelona.com/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
Salón TONI&GUY - Madrid Chamberí,Hairdresser,+34912794411,4.7,28010 Madrid,https://toniandguy.es/?utm_source=google&utm_medium=maps&utm_campaign=mybusiness&utm_id=GMB+CHAMBERI&utm_content=madrid-chamberi,Salons in Spain,87,💎 DIAMOND,2026-05-16 04:15:57
Are you ready? Hairdressers,Hairdresser,+34911693758,4.5,28013 Madrid,https://www.areyouready.es/,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
"The Studio, Izzi & Capelli",Hairdresser,+34608782348,4.9,Málaga,http://thestudiospain.com/,Salons in Spain,80,💎 DIAMOND,2026-05-16 04:15:57
COLADO Hair Sculpture,Hair salon,+34911389664,4.8,28004 Madrid,http://www.carloscolado.com/,Salons in Spain,74,🥇 GOLD,2026-05-16 04:15:57
King Nails,Nail salon,+34611548999,5,28023 Madrid,,Salons in Spain,64,🥇 GOLD,2026-05-16 04:15:57
Anny's Beauty Salon,Beauty salon,+34930049191,4.6,08002 Barcelona,http://www.annysbeautysalon.es/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1747001948128126013,Salons in Spain,86,💎 DIAMOND,2026-05-16 04:15:57
BETH'S HAIR · Fuencarral,Barber supply store,+34672469665,4.1,28010 Madrid,https://www.bethshair.es/centros/calle-fuencarral-madrid/,Salons in Spain,67,🥇 GOLD,2026-05-16 04:15:57
